time,duration,value
2.448980,2.448980,E:min7(9)
4.897959,2.448980,A:7(13)
7.346939,2.448980,E:min7(9)
9.795918,2.448980,A:7(13)
14.693878,2.448980,A:7(13)
17.142857,2.448980,E:min7(9)
19.591837,1.530612,A:7(13)
21.122449,0.918367,"Eb:7(9,13)"
22.040816,2.448980,D:min7(9)
26.938776,2.448980,A:min7
29.387755,1.530612,F#:min7(b5)
30.918367,0.918367,B:7(#9)
31.836735,2.448980,E:min7(9)
34.285714,2.448980,A#:dim(b13)
36.734694,1.377551,A:min7(9)
38.112245,1.071429,D:7(9)
39.183673,1.530612,E:min7(9)
40.714286,0.918367,"Eb:7(9,13)"
41.632653,2.448980,D:min7(9)
44.081633,2.448980,G#:dim(b13)
46.530612,2.448980,A:min7
50.510204,0.918367,B:7(#9)
51.428571,2.448980,E:min7(9)
53.877551,1.071429,A:min7(9)
54.948980,1.377551,B:7
56.326531,2.448980,C:maj7(9)
58.775510,2.448980,"F:7(9,13)"
61.224490,1.071429,F#:min7
62.295918,1.377551,B:7(#5)
63.673469,1.071429,E:min7
64.744898,1.377551,E:7(b9)
66.122449,1.071429,A:min7
67.193878,1.377551,G:min7(b5)
68.571429,1.530612,D:min7(9)
71.020408,2.448980,E:min7
73.469388,2.448980,E:dim7
78.826531,1.989796,"G:7(b9,13)"
80.816327,2.448980,D:min7(9)
83.265306,2.448980,G#:dim(b13)
85.714286,2.448980,A:min7
89.693878,0.918367,B:7(#9)
90.612245,2.448980,E:min7(9)
93.061224,2.448980,A#:dim(b13)
95.510204,1.377551,A:min7(9)
96.887755,1.071429,D:7(9)
97.959184,2.448980,E:min7(9)
100.408163,2.448980,A:7(13)
102.857143,2.755102,E:min7(9)
105.612245,1.530612,A:7(13)
107.142857,0.612245,"Eb:7(9,13)"
107.755102,2.448980,D:min7(9)
110.204082,2.448980,G#:dim(b13)
112.653061,2.448980,A:min7
115.102041,2.448980,D:7(9)
117.551020,2.448980,D:min7(9)
120.000000,2.448980,G#:dim(b13)
122.448980,2.448980,A:min7
126.428571,0.918367,B:7(#5)
129.795918,2.448980,A:7(13)
132.244898,2.448980,E:min7(9)
137.142857,2.448980,E:min7(9)
142.040816,2.448980,E:min7(9)
144.489796,1.224490,A:7(13)
145.714286,1.224490,C:maj7(9)
148.010204,1.377551,B:7(#5)
149.387755,1.071429,E:min7
150.459184,1.377551,E:7(b9)
152.908163,1.377551,G:min7(b5)
154.285714,1.530612,D:min7(9)
155.816327,0.918367,D#:dim(13)
156.734694,2.448980,E:min7
161.632653,2.448980,D:min7(9)
164.081633,1.224490,F:min7(9)
166.530612,2.448980,Eb:maj7
168.979592,2.448980,B:dim7
173.877551,1.071429,A:hdim7
174.948980,1.377551,Ab:min6
178.775510,2.448980,Ab:maj7
181.224490,1.071429,A:hdim7
182.295918,1.377551,D:7(#9)
184.285714,0.612245,F#:7
184.897959,0.612245,F:min7
185.510204,0.612245,Bb:7
186.122449,2.448980,Eb:maj7
191.020408,2.448980,C:min7
194.540816,1.377551,Ab:min6
198.367347,2.448980,Ab:maj7
201.887755,1.377551,D:7(#9)
203.265306,1.071429,G:maj7
204.336735,1.377551,G:7(9)
208.163265,2.448980,G#:dim(b13)
210.612245,2.448980,A:min7
214.132653,1.377551,D:min7(b5)
215.510204,2.448980,C:maj(9)
220.408163,0.612245,F#:min7(b5)
221.020408,1.836735,B:7(b13)
222.857143,0.612245,E:min7
223.469388,0.612245,Eb:7(9)
224.081633,0.612245,D:min7(9)
224.693878,0.612245,"Db:7(#9,b13)"
227.755102,2.448980,G#:dim(b13)
232.653061,1.071429,F#:min7(b5)
233.724490,1.377551,D:min7(b5)
235.102041,2.448980,C:maj(9)
240.000000,1.224490,F#:min7(b5)
241.224490,1.224490,B:7(b13)
242.448980,1.530612,E:min7(9)
243.979592,0.918367,"Eb:7(9,13)"
244.897959,2.448980,D:min7(9)
247.346939,2.448980,G#:dim(b13)
252.244898,1.530612,F#:min7(b5)
253.775510,0.918367,B:7(#9)
254.693878,2.448980,E:min7(9)
259.591837,1.377551,A:min7(9)
260.969388,1.071429,D:7(9)
262.040816,1.530612,E:min7(9)
263.571429,0.918367,"Eb:7(9,13)"
264.489796,2.448980,D:min7(9)
266.938776,2.448980,G#:dim(b13)
271.836735,1.530612,F#:min7(b5)
274.285714,2.448980,E:min7(9)
276.734694,1.071429,A:min7(9)
277.806122,1.377551,B:7
284.081633,9.795918,"F:7(9,#11)"
